Item,Subscale
GritPas_28,Passion
GritPas_23,Passion
GritPas_26,Passion
GritPas_27,Passion
GritPer_14,Perseverance
GritPer_13,Perseverance
GritPer_19,Perseverance
GritPer_18,Perseverance
HumMot_13,Feedback-seeking
HumMot_5,Feedback-seeking
HumExp_8,Feedback-seeking
HumExp_1,Non-defensiveness
HumExp_2,Non-defensiveness
HumExp_3,Non-defensiveness
HumExp_4,Non-defensiveness
HumExp_5,Non-defensiveness
Giver_10,Giver
Giver_2,Giver
Giver_3,Giver
Giver_1,Giver
Matcher_1,Matcher
Matcher_4,Matcher
Matcher_3,Matcher
Taker_3,Taker
Taker_6,Taker
Taker_4,Taker